Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	26	0	0.00846366971	293.18399	293.18399	293.18399	293.18399	0	0	0	0	0	0	3
2	32	0	0.0169273394	293.184897	293.184444	293.18399	293.184897	0.000453689224	0	0	0	0	0	3
3	38	0	0.0253910091	293.185743	293.184877	293.18399	293.185743	0.000886910169	0	0	0	0	0	3
4	44	0	0.0338546789	293.186496	293.185281	293.18399	293.186496	0.00129159833	0	0	0	0	0	3
5	49	0	0.0423183486	293.186986	293.185622	293.18399	293.186986	0.0016325896	0	0	0	0	0	3
6	54	0	0.0507820183	293.187571	293.185947	293.18399	293.187571	0.00195737981	0	0	0	0	0	3
7	59	0	0.059245688	293.187815	293.186214	293.18399	293.187815	0.00222418597	0	0	0	0	0	3
8	64	0	0.0677093577	293.187922	293.186428	293.18399	293.187922	0.00243770639	0	0	0	0	0	3
9	68	0	0.0761730274	293.187816	293.186582	293.18399	293.187922	0.00259197979	0	0	0	0	0	3
10	73	0	0.0846366971	293.187551	293.186679	293.18399	293.187922	0.00268889409	0	0	0	0	0	3
11	78	0	0.0931003669	293.186877	293.186697	293.18399	293.187922	0.00270690941	0	0	0	0	0	3
12	83	0	0.101564037	293.185794	293.186622	293.18399	293.187922	0.00270690941	0	0	0	0	0	3
13	88	0	0.110027706	293.184481	293.186457	293.18399	293.187922	0.00270690941	0	0	0	0	0	3
14	93	0	0.118491376	293.183075	293.186215	293.183075	293.187922	0.00270690941	0	0	0	0	0	3
15	97	0	0.126955046	293.181697	293.185914	293.181697	293.187922	0.00270690941	0	0	0	0	0	3
16	102	0	0.135418715	293.179395	293.185507	293.179395	293.187922	0.00270690941	0	0	0	0	0	3
17	107	0	0.143882385	293.176763	293.184992	293.176763	293.187922	0.00270690941	0	0	0	0	0	3
18	111	0	0.152346055	293.174348	293.184401	293.174348	293.187922	0.00270690941	0	0	0	0	0	3
19	116	0	0.160809725	293.171409	293.183717	293.171409	293.187922	0.00297952734	0	0	0	0	0	3
20	121	0	0.169273394	293.168317	293.182947	293.168317	293.187922	0.00374952364	0	0	0	0	0	3
21	126	0	0.177737064	293.164064	293.182048	293.164064	293.187922	0.00464873462	0	0	0	0	0	3
22	130	0	0.186200734	293.160212	293.181056	293.160212	293.187922	0.00564126348	0	0	0	0	0	3
23	135	0	0.194664403	293.156719	293.179997	293.156719	293.187922	0.00669935329	0	0	0	0	0	3
24	140	0	0.203128073	293.153877	293.178909	293.153877	293.187922	0.00778770152	0	0	0	0	0	3
25	144	0	0.211591743	293.151233	293.177802	293.151233	293.187922	0.00889474583	0	0	0	0	0	3
26	149	0	0.220055413	293.147779	293.176647	293.147779	293.187922	0.0100494876	0	0	0	0	0	3
27	155	0	0.228519082	293.145382	293.175489	293.145382	293.187922	0.0112074467	0	0	0	0	0	3
28	159	0	0.236982752	293.143575	293.17435	293.143575	293.187922	0.0123472604	0	0	0	0	0	3
29	164	0	0.245446422	293.141733	293.173225	293.141733	293.187922	0.0134719559	0	0	0	0	0	3
30	169	0	0.253910091	293.140555	293.172136	293.140555	293.187922	0.0145609587	0	0	0	0	0	3
31	174	0	0.262373761	293.138791	293.17106	293.138791	293.187922	0.0156365892	0	0	0	0	0	3
32	180	0	0.270837431	293.137262	293.170004	293.137262	293.187922	0.0166927798	0	0	0	0	0	3
33	185	0	0.279301101	293.135905	293.168971	293.135905	293.187922	0.0177260867	0	0	0	0	0	3
34	190	0	0.28776477	293.134947	293.16797	293.134947	293.187922	0.0187267771	0	0	0	0	0	3
35	195	0	0.29622844	293.133823	293.166994	293.133823	293.187922	0.0197023989	0	0	0	0	0	3
36	201	0	0.30469211	293.134277	293.166086	293.133823	293.187922	0.0206112132	0	0	0	0	0	3
37	206	0	0.313155779	293.137036	293.1653	293.133823	293.187922	0.0213963436	0	0	0	0	0	3
38	212	0	0.321619449	293.146697	293.164811	293.133823	293.187922	0.0218859188	0	0	0	0	0	3
39	217	0	0.330083119	293.169815	293.164939	293.133823	293.187922	0.0218859188	0	0	0	0	0	3
40	222	0	0.338546789	293.218354	293.166275	293.133823	293.218354	0.0218859188	0	0	0	0	0	3
41	227	0	0.347010458	293.414703	293.172334	293.133823	293.414703	0.0218859188	0	0	0	0	0	3
42	232	0	0.355474128	293.831779	293.188035	293.133823	293.831779	0.0232239671	0	0	0	0	0	3
43	238	0	0.363937798	294.590235	293.220644	293.133823	294.590235	0.0558332831	0	0	0	0	0	3
44	243	0	0.372401467	295.804523	293.279369	293.133823	295.804523	0.114557805	0	0	0	0	0	3
45	249	0	0.380865137	297.551049	293.374295	293.133823	297.551049	0.20948404	0	0	0	0	0	3
46	254	0	0.389328807	299.903171	293.516227	293.133823	299.903171	0.351416138	0	0	0	0	0	3
47	260	0	0.397792477	302.881184	293.715481	293.133823	302.881184	0.550670534	0	0	0	0	0	3
48	265	0	0.406256146	306.536494	293.982586	293.133823	306.536494	0.81777497	0	0	0	0	0	3
49	271	0	0.414719816	310.97317	294.329332	293.133823	310.97317	1.16452158	0	0	0	0	0	3
50	276	0	0.423183486	316.170725	294.76616	293.133823	316.170725	1.60134943	0	0	0	0	0	3
51	281	0	0.431647155	322.191216	295.303906	293.133823	322.191216	2.13909562	0	0	0	0	0	3
52	286	0	0.440110825	328.960525	295.951149	293.133823	328.960525	2.78633827	0	0	0	0	0	3
53	292	0	0.448574495	336.725286	296.720472	293.133823	336.725286	3.5556616	0	0	0	0	0	3
54	298	0	0.457038165	345.339964	297.620833	293.133823	345.339964	4.45602256	0	0	0	0	0	3
55	303	0	0.465501834	354.721357	298.659025	293.133823	354.721357	5.49421389	0	0	0	0	0	3
56	308	0	0.473965504	364.774372	299.839656	293.133823	364.774372	6.67484509	0	0	0	0	0	3
57	314	0	0.482429174	375.321926	301.163906	293.133823	375.321926	7.99909545	0	0	0	0	0	3
58	319	0	0.490892843	385.88767	302.624661	293.133823	385.88767	9.45984999	0	0	0	0	0	3
59	324	0	0.499356513	396.936211	304.223162	293.133823	396.936211	11.0583508	0	0	0	0	0	3
60	329	0	0.507820183	407.381646	305.94247	293.133823	407.381646	12.7776589	0	0	0	0	0	3
61	334	0	0.516283853	417.103236	308.007791	293.133823	417.103236	14.8429797	0	0	0	0	0	3
62	339	0	0.524747522	425.917977	310.220009	293.133823	425.917977	17.0551977	0	0	0	0	0	3
63	344	0	0.533211192	434.189395	312.570069	293.133823	434.189395	19.4052586	0	0	0	0	0	3
64	349	0	0.541674862	441.702907	315.045343	293.133823	441.702907	21.8805321	0	0	0	0	0	3
65	354	0	0.550138531	448.240884	317.629575	293.133823	448.240884	24.4647637	0	0	0	0	0	3
66	359	0	0.558602201	454.040849	320.310463	293.133823	454.040849	27.1456517	0	0	0	0	0	3
67	364	0	0.567065871	459.5353	323.082921	293.133823	459.5353	29.9181097	0	0	0	0	0	3
68	369	0	0.575529541	464.21476	325.933368	293.133823	464.21476	32.7685571	0	0	0	0	0	3
69	374	0	0.58399321	468.187777	328.850034	293.133823	468.187777	35.6852231	0	0	0	0	0	3
70	379	0	0.59245688	471.431495	331.820766	293.133823	471.431495	38.6559555	0	0	0	0	0	3
71	384	0	0.60092055	474.042179	334.835021	293.133823	474.042179	41.6702105	0	0	0	0	0	3
72	388	0	0.609384219	476.755399	337.894515	293.133823	476.755399	44.7297039	0	0	0	0	0	3
73	393	0	0.617847889	479.051291	340.992295	293.133823	479.051291	47.8274841	0	0	0	0	0	3
74	398	0	0.626311559	481.449268	344.130065	293.133823	481.449268	50.965254	0	0	0	0	0	3
75	403	0	0.634775229	483.442003	347.30107	293.133823	483.442003	54.1362591	0	0	0	0	0	3
76	407	0	0.643238898	485.536071	350.507015	293.133823	485.536071	57.3422037	0	0	0	0	0	3
77	412	0	0.651702568	487.71639	353.749342	293.133823	487.71639	60.5845308	0	0	0	0	0	3
78	416	0	0.660166238	489.739404	357.025426	293.133823	489.739404	63.860615	0	0	0	0	0	3
79	421	0	0.668629907	492.092667	360.34078	293.133823	492.092667	67.1759693	0	0	0	0	0	3
80	425	0	0.677093577	494.244598	363.692052	293.133823	494.244598	70.5272407	0	0	0	0	0	3
81	430	0	0.685557247	496.483761	367.080713	293.133823	496.483761	73.9159023	0	0	0	0	0	3
82	435	0	0.694020917	497.889688	370.492871	293.133823	497.889688	77.3280602	0	0	0	0	0	3
83	440	0	0.702484586	499.810897	373.937107	293.133823	499.810897	80.7722965	0	0	0	0	0	3
84	444	0	0.710948256	501.174386	377.404116	293.133823	501.174386	84.239305	0	0	0	0	0	3
85	449	0	0.719411926	502.517974	380.893562	293.133823	502.517974	87.7287507	0	0	0	0	0	3
86	453	0	0.727875595	503.369081	384.39725	293.133823	503.369081	91.232439	0	0	0	0	0	3
