Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	26	0	0.00846366971	111961.28	111961.28	111961.28	111961.28	0	0	0	0	0	0	3
2	32	0	0.0169273394	106369.714	109165.497	106369.714	111961.28	2795.78318	0	0	0	0	0	3
3	38	0	0.0253910091	103881.575	107404.19	103881.575	111961.28	4557.0904	0	0	0	0	0	3
4	44	0	0.0338546789	102908.688	106280.314	102908.688	111961.28	5680.96586	0	0	0	0	0	3
5	49	0	0.0423183486	102555.917	105535.435	102555.917	111961.28	6425.84525	0	0	0	0	0	3
6	54	0	0.0507820183	102153.802	104971.829	102153.802	111961.28	6989.45072	0	0	0	0	0	3
7	59	0	0.059245688	102021.322	104550.328	102021.322	111961.28	7410.95175	0	0	0	0	0	3
8	64	0	0.0677093577	101930.704	104222.875	101930.704	111961.28	7738.40478	0	0	0	0	0	3
9	68	0	0.0761730274	101914.915	103966.435	101914.915	111961.28	7994.84477	0	0	0	0	0	3
10	73	0	0.0846366971	101881.777	103757.969	101881.777	111961.28	8203.31059	0	0	0	0	0	3
11	78	0	0.0931003669	101892.537	103588.385	101881.777	111961.28	8372.89532	0	0	0	0	0	3
12	83	0	0.101564037	101895.826	103447.338	101881.777	111961.28	8513.94184	0	0	0	0	0	3
13	88	0	0.110027706	101921.67	103329.979	101881.777	111961.28	8631.3009	0	0	0	0	0	3
14	93	0	0.118491376	101945.795	103231.109	101881.777	111961.28	8730.17122	0	0	0	0	0	3
15	97	0	0.126955046	101979.199	103147.648	101881.777	111961.28	8813.63188	0	0	0	0	0	3
16	102	0	0.135418715	102015.794	103076.907	101881.777	111961.28	8884.37274	0	0	0	0	0	3
17	107	0	0.143882385	102055.737	103016.838	101881.777	111961.28	8944.44154	0	0	0	0	0	3
18	111	0	0.152346055	102093.924	102965.565	101881.777	111961.28	8995.71457	0	0	0	0	0	3
19	116	0	0.160809725	102133.862	102921.792	101881.777	111961.28	9039.48841	0	0	0	0	0	3
20	121	0	0.169273394	102174.762	102884.44	101881.777	111961.28	9076.8399	0	0	0	0	0	3
21	126	0	0.177737064	102212.374	102852.437	101881.777	111961.28	9108.84307	0	0	0	0	0	3
22	130	0	0.186200734	102231.983	102824.234	101881.777	111961.28	9137.04554	0	0	0	0	0	3
23	135	0	0.194664403	102236.436	102798.678	101881.777	111961.28	9162.60197	0	0	0	0	0	3
24	140	0	0.203128073	102224.768	102774.765	101881.777	111961.28	9186.51489	0	0	0	0	0	3
25	144	0	0.211591743	102220.086	102752.578	101881.777	111961.28	9208.70204	0	0	0	0	0	3
26	149	0	0.220055413	102229.29	102732.451	101881.777	111961.28	9228.82849	0	0	0	0	0	3
27	155	0	0.228519082	102241.375	102714.263	101881.777	111961.28	9247.01651	0	0	0	0	0	3
28	159	0	0.236982752	102242.845	102697.427	101881.777	111961.28	9263.85287	0	0	0	0	0	3
29	164	0	0.245446422	102255.871	102682.201	101881.777	111961.28	9279.07894	0	0	0	0	0	3
30	169	0	0.253910091	102265.145	102668.299	101881.777	111961.28	9292.9808	0	0	0	0	0	3
31	174	0	0.262373761	102273.869	102655.576	101881.777	111961.28	9305.70434	0	0	0	0	0	3
32	180	0	0.270837431	102267.812	102643.458	101881.777	111961.28	9317.82196	0	0	0	0	0	3
33	185	0	0.279301101	102266.456	102632.034	101881.777	111961.28	9329.24628	0	0	0	0	0	3
34	190	0	0.28776477	102262.301	102621.159	101881.777	111961.28	9340.12077	0	0	0	0	0	3
35	195	0	0.29622844	102253.957	102610.668	101881.777	111961.28	9350.61227	0	0	0	0	0	3
36	201	0	0.30469211	102195.519	102599.136	101881.777	111961.28	9362.14418	0	0	0	0	0	3
37	206	0	0.313155779	102108.954	102585.888	101881.777	111961.28	9375.39233	0	0	0	0	0	3
38	212	0	0.321619449	102080.928	102572.599	101881.777	111961.28	9388.68073	0	0	0	0	0	3
39	217	0	0.330083119	102068.828	102559.682	101881.777	111961.28	9401.59794	0	0	0	0	0	3
40	222	0	0.338546789	102058.976	102547.164	101881.777	111961.28	9414.11559	0	0	0	0	0	3
41	227	0	0.347010458	102045.404	102534.926	101881.777	111961.28	9426.35365	0	0	0	0	0	3
42	232	0	0.355474128	102045.622	102523.276	101881.777	111961.28	9438.00375	0	0	0	0	0	3
43	238	0	0.363937798	102041.268	102512.067	101881.777	111961.28	9449.21325	0	0	0	0	0	3
44	243	0	0.372401467	102030.719	102501.127	101881.777	111961.28	9460.15296	0	0	0	0	0	3
45	249	0	0.380865137	102035.93	102490.789	101881.777	111961.28	9470.49068	0	0	0	0	0	3
46	254	0	0.389328807	102078.691	102481.831	101881.777	111961.28	9479.44933	0	0	0	0	0	3
47	260	0	0.397792477	102097.812	102473.66	101881.777	111961.28	9487.61995	0	0	0	0	0	3
48	265	0	0.406256146	102097.728	102465.828	101881.777	111961.28	9495.45186	0	0	0	0	0	3
49	271	0	0.414719816	102087.135	102458.1	101881.777	111961.28	9503.18028	0	0	0	0	0	3
50	276	0	0.423183486	102071.467	102450.367	101881.777	111961.28	9510.91292	0	0	0	0	0	3
51	281	0	0.431647155	102067.672	102442.863	101881.777	111961.28	9518.41675	0	0	0	0	0	3
52	286	0	0.440110825	102062.567	102435.55	101881.777	111961.28	9525.73014	0	0	0	0	0	3
53	292	0	0.448574495	102069.254	102428.639	101881.777	111961.28	9532.64139	0	0	0	0	0	3
54	298	0	0.457038165	102074.339	102422.077	101881.777	111961.28	9539.20249	0	0	0	0	0	3
55	303	0	0.465501834	102077.717	102415.816	101881.777	111961.28	9545.4636	0	0	0	0	0	3
56	308	0	0.473965504	102077.412	102409.773	101881.777	111961.28	9551.50654	0	0	0	0	0	3
57	314	0	0.482429174	102073.487	102403.874	101881.777	111961.28	9557.4063	0	0	0	0	0	3
58	319	0	0.490892843	102066.131	102398.05	101881.777	111961.28	9563.22945	0	0	0	0	0	3
59	324	0	0.499356513	102054.068	102392.22	101881.777	111961.28	9569.05967	0	0	0	0	0	3
60	329	0	0.507820183	102040.738	102386.362	101881.777	111961.28	9574.91771	0	0	0	0	0	3
61	334	0	0.516283853	102025.002	102220.758	101881.777	106369.714	4487.93663	0	0	0	0	0	3
62	339	0	0.524747522	102009.85	102148.093	101881.777	103881.575	1999.79816	0	0	0	0	0	3
63	344	0	0.533211192	102004.291	102116.805	101881.777	102908.688	1026.91075	0	0	0	0	0	3
64	349	0	0.541674862	102002.096	102101.695	101881.777	102555.917	674.14019	0	0	0	0	0	3
65	354	0	0.550138531	101999.663	102092.424	101881.777	102273.869	392.09251	0	0	0	0	0	3
66	359	0	0.558602201	101997.719	102089.823	101881.777	102273.869	392.09251	0	0	0	0	0	3
67	364	0	0.567065871	101996.775	102089.414	101881.777	102273.869	392.09251	0	0	0	0	0	3
68	369	0	0.575529541	101996.727	102090.514	101881.777	102273.869	392.09251	0	0	0	0	0	3
69	374	0	0.58399321	101997.159	102091.885	101881.777	102273.869	392.09251	0	0	0	0	0	3
70	379	0	0.59245688	102002.752	102093.901	101892.537	102273.869	381.332126	0	0	0	0	0	3
71	384	0	0.60092055	102006.292	102095.797	101895.826	102273.869	378.043097	0	0	0	0	0	3
72	388	0	0.609384219	102010.313	102097.705	101921.67	102273.869	352.199176	0	0	0	0	0	3
73	393	0	0.617847889	102013.042	102099.228	101945.795	102273.869	328.074833	0	0	0	0	0	3
74	398	0	0.626311559	102015.969	102100.398	101979.199	102273.869	294.670634	0	0	0	0	0	3
75	403	0	0.634775229	102018.094	102101.046	101996.727	102273.869	277.142885	0	0	0	0	0	3
76	407	0	0.643238898	102020.441	102101.123	101996.727	102273.869	277.142885	0	0	0	0	0	3
77	412	0	0.651702568	102022.365	102100.567	101996.727	102273.869	277.142885	0	0	0	0	0	3
78	416	0	0.660166238	102024.961	102099.418	101996.727	102273.869	277.142885	0	0	0	0	0	3
79	421	0	0.668629907	102026.688	102097.632	101996.727	102273.869	277.142885	0	0	0	0	0	3
80	425	0	0.677093577	102028.42	102095.193	101996.727	102273.869	277.142885	0	0	0	0	0	3
81	430	0	0.685557247	102029.363	102092.142	101996.727	102273.869	277.142885	0	0	0	0	0	3
82	435	0	0.694020917	102031.554	102088.802	101996.727	102273.869	277.142885	0	0	0	0	0	3
83	440	0	0.702484586	102032.858	102085.409	101996.727	102273.869	277.142885	0	0	0	0	0	3
84	444	0	0.710948256	102034.386	102082.236	101996.727	102273.869	277.142885	0	0	0	0	0	3
85	449	0	0.719411926	102035.145	102079.154	101996.727	102273.869	277.142885	0	0	0	0	0	3
86	453	0	0.727875595	102036.588	102075.942	101996.727	102273.869	277.142885	0	0	0	0	0	3
87	458	0	0.736339265	102037.205	102072.539	101996.727	102273.869	277.142885	0	0	0	0	0	3
88	462	0	0.744802935	102038.549	102069.134	101996.727	102273.869	277.142885	0	0	0	0	0	3
89	466	0	0.753266605	102039.458	102065.527	101996.727	102273.869	277.142885	0	0	0	0	0	3
90	471	0	0.761730274	102040.926	102061.79	101996.727	102273.869	277.142885	0	0	0	0	0	3
91	475	0	0.770193944	102041.554	102057.918	101996.727	102267.812	271.085089	0	0	0	0	0	3
92	480	0	0.778657614	102042.657	102054.166	101996.727	102266.456	269.728949	0	0	0	0	0	3
93	484	0	0.787121283	102042.902	102050.44	101996.727	102262.301	265.574511	0	0	0	0	0	3
94	488	0	0.795584953	102043.902	102046.8	101996.727	102253.957	257.229942	0	0	0	0	0	3
95	493	0	0.804048623	102044.117	102043.302	101996.727	102195.519	198.792609	0	0	0	0	0	3
96	497	0	0.812512293	102045.014	102040.794	101996.727	102108.954	112.227522	0	0	0	0	0	3
97	502	0	0.820975962	102044.984	102039.728	101996.727	102097.812	101.085087	0	0	0	0	0	3
98	506	0	0.829439632	102045.462	102039.137	101996.727	102097.812	101.085087	0	0	0	0	0	3
99	511	0	0.837903302	102045.219	102038.743	101996.727	102097.812	101.085087	0	0	0	0	0	3
100	515	0	0.846366971	102046	102038.527	101996.727	102097.812	101.085087	0	0	0	0	0	3
101	522	0	0.854830641	102046.515	102038.545	101996.727	102097.812	101.085087	0	0	0	0	0	3
102	526	0	0.863294311	102047.602	102038.578	101996.727	102097.812	101.085087	0	0	0	0	0	3
103	530	0	0.871757981	102047.337	102038.68	101996.727	102097.812	101.085087	0	0	0	0	0	3
104	535	0	0.88022165	102048.095	102038.969	101996.727	102097.812	101.085087	0	0	0	0	0	3
105	539	0	0.88868532	102047.849	102039.168	101996.727	102097.812	101.085087	0	0	0	0	0	3
106	543	0	0.89714899	102048.682	102038.668	101996.727	102097.812	101.085087	0	0	0	0	0	3
107	548	0	0.90561266	102048.719	102037.85	101996.727	102097.728	101.001728	0	0	0	0	0	3
108	552	0	0.914076329	102049.089	102037.039	101996.727	102087.135	90.4088371	0	0	0	0	0	3
109	556	0	0.922539999	102048.734	102036.399	101996.727	102077.717	80.9900548	0	0	0	0	0	3
110	561	0	0.931003669	102049.333	102036.03	101996.727	102077.717	80.9900548	0	0	0	0	0	3
111	565	0	0.939467338	102049.152	102035.721	101996.727	102077.717	80.9900548	0	0	0	0	0	3
112	570	0	0.947931008	102049.376	102035.501	101996.727	102077.717	80.9900548	0	0	0	0	0	3
113	574	0	0.956394678	102048.832	102035.161	101996.727	102077.717	80.9900548	0	0	0	0	0	3
114	579	0	0.964858348	102048.981	102034.738	101996.727	102077.717	80.9900548	0	0	0	0	0	3
115	583	0	0.973322017	102048.703	102034.255	101996.727	102077.412	80.6849782	0	0	0	0	0	3
116	588	0	0.981785687	102049.763	102033.794	101996.727	102073.487	76.760652	0	0	0	0	0	3
117	592	0	0.990249357	102049.619	102033.396	101996.727	102066.131	69.4043055	0	0	0	0	0	3
118	596	0	0.998713026	102050.137	102033.13	101996.727	102054.068	57.3409751	0	0	0	0	0	3
119	600	0	1.0071767	102049.688	102033.057	101996.727	102050.137	53.4099945	59.9939449	0	100	0	0	3
120	605	0	1.01564037	102050.256	102033.215	101996.727	102050.256	53.5290844	59.9939449	0	100	0	0	3
121	609	0	1.02410404	102050.072	102033.633	101996.727	102050.256	53.5290844	59.9939449	0	100	0	0	3
122	613	0	1.03256771	102050.828	102034.316	101996.727	102050.828	54.1009682	59.9939449	0	100	0	0	3
123	617	0	1.04103137	102050.793	102035.091	101996.727	102050.828	54.1009682	59.9939449	0	100	0	0	3
124	622	0	1.04949504	102051.201	102035.91	101996.727	102051.201	54.4748948	59.9939449	0	100	0	0	3
125	626	0	1.05795871	102050.839	102036.762	101996.727	102051.201	54.4748948	59.9939449	0	100	0	0	3
126	631	0	1.06642238	102051.158	102037.653	101996.727	102051.201	54.4748948	59.9939449	0	100	0	0	3
127	635	0	1.07488605	102050.697	102038.552	101996.727	102051.201	54.4748948	59.9939449	0	100	0	0	3
128	639	0	1.08334972	102050.767	102039.453	101997.159	102051.201	54.0421107	59.9939449	0	100	0	0	3
129	644	0	1.09181339	102050.474	102040.341	102002.752	102051.201	48.4494464	59.9939449	0	100	0	0	3
130	648	0	1.10027706	102050.799	102041.142	102006.292	102051.201	44.9099603	59.9939449	0	100	0	0	3
131	652	0	1.10874073	102050.774	102041.883	102010.313	102051.201	40.8887923	59.9939449	0	100	0	0	3
132	656	0	1.1172044	102051.18	102042.564	102013.042	102051.201	38.1595134	59.9939449	0	100	0	0	3
133	660	0	1.12566807	102050.673	102043.192	102015.969	102051.201	35.2327258	59.9939449	0	100	0	0	3
134	665	0	1.13413174	102050.956	102043.775	102018.094	102051.201	33.1079118	59.9939449	0	100	0	0	3
135	669	0	1.14259541	102050.445	102044.314	102020.441	102051.201	30.7605446	59.9939449	0	100	0	0	3
136	673	0	1.15105908	102051.076	102044.824	102022.365	102051.201	28.8364348	59.9939449	0	100	0	0	3
137	677	0	1.15952275	102051.227	102045.305	102024.961	102051.227	26.2658429	59.9939449	0	100	0	0	3
138	681	0	1.16798642	102051.653	102045.75	102026.688	102051.653	24.9644663	59.9939449	0	100	0	0	3
139	686	0	1.17645009	102051.365	102046.162	102028.42	102051.653	23.2328404	59.9939449	0	100	0	0	3
140	690	0	1.18491376	102051.574	102046.548	102029.363	102051.653	22.2896673	59.9939449	0	100	0	0	3
141	695	0	1.19337743	102051.382	102046.915	102031.554	102051.653	20.0981688	59.9939449	0	100	0	0	3
142	699	0	1.2018411	102051.665	102047.25	102032.858	102051.665	18.8074017	59.9939449	0	100	0	0	3
143	703	0	1.21030477	102051.453	102047.56	102034.386	102051.665	17.2791415	59.9939449	0	100	0	0	3
144	707	0	1.21876844	102051.471	102047.844	102035.145	102051.665	16.5200899	59.9939449	0	100	0	0	3
145	711	0	1.22723211	102051.437	102048.116	102036.588	102051.665	15.0772686	59.9939449	0	100	0	0	3
146	716	0	1.23569578	102052.167	102048.376	102037.205	102052.167	14.9618823	59.9939449	0	100	0	0	3
147	720	0	1.24415945	102052.186	102048.625	102038.549	102052.186	13.6369187	59.9939449	0	100	0	0	3
148	724	0	1.25262312	102052.7	102048.861	102039.458	102052.7	13.2423677	59.9939449	0	100	0	0	3
149	728	0	1.26108679	102052.479	102049.078	102040.926	102052.7	11.7735899	59.9939449	0	100	0	0	3
150	732	0	1.26955046	102052.745	102049.275	102041.554	102052.745	11.1909637	59.9939449	0	100	0	0	3
151	737	0	1.27801413	102052.466	102049.457	102042.657	102052.745	10.0876238	59.9939449	0	100	0	0	3
152	741	0	1.2864778	102052.746	102049.625	102042.902	102052.746	9.84440424	59.9939449	0	100	0	0	3
153	745	0	1.29494147	102052.318	102049.782	102043.902	102052.746	8.84449069	59.9939449	0	100	0	0	3
154	749	0	1.30340514	102052.611	102049.927	102044.117	102052.746	8.62955389	59.9939449	0	100	0	0	3
