Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	26	0	0.00846366971	4.93201077e-05	4.93201077e-05	4.93201077e-05	4.93201077e-05	0	0	0	0	0	0	3
2	32	0	0.0169273394	2.40034171e-06	2.58602247e-05	2.40034171e-06	4.93201077e-05	2.3459883e-05	0	0	0	0	0	3
3	38	0	0.0253910091	-1.24142877e-07	1.71987688e-05	-1.24142877e-07	4.93201077e-05	3.21213388e-05	0	0	0	0	0	3
4	44	0	0.0338546789	-9.25596769e-08	1.28759367e-05	-1.24142877e-07	4.93201077e-05	3.6444171e-05	0	0	0	0	0	3
5	49	0	0.0423183486	-7.26274655e-08	1.02862239e-05	-1.24142877e-07	4.93201077e-05	3.90338838e-05	0	0	0	0	0	3
6	54	0	0.0507820183	-3.54879649e-08	8.56593857e-06	-1.24142877e-07	4.93201077e-05	4.07541691e-05	0	0	0	0	0	3
7	59	0	0.059245688	-6.70879725e-08	7.33264906e-06	-1.24142877e-07	4.93201077e-05	4.19874586e-05	0	0	0	0	0	3
8	64	0	0.0677093577	-4.43064932e-08	6.41052962e-06	-1.24142877e-07	4.93201077e-05	4.29095781e-05	0	0	0	0	0	3
9	68	0	0.0761730274	-9.06688125e-08	5.68817424e-06	-1.24142877e-07	4.93201077e-05	4.36319334e-05	0	0	0	0	0	3
10	73	0	0.0846366971	-1.02364061e-07	5.10912041e-06	-1.24142877e-07	4.93201077e-05	4.42109873e-05	0	0	0	0	0	3
11	78	0	0.0931003669	-6.8677584e-08	4.6384115e-06	-1.24142877e-07	4.93201077e-05	4.46816962e-05	0	0	0	0	0	3
12	83	0	0.101564037	-6.77769483e-08	4.24622913e-06	-1.24142877e-07	4.93201077e-05	4.50738786e-05	0	0	0	0	0	3
13	88	0	0.110027706	-2.44821556e-08	3.91771288e-06	-1.24142877e-07	4.93201077e-05	4.54023948e-05	0	0	0	0	0	3
14	93	0	0.118491376	-3.91074114e-08	3.63508286e-06	-1.24142877e-07	4.93201077e-05	4.56850248e-05	0	0	0	0	0	3
15	97	0	0.126955046	-3.00916626e-08	3.39073789e-06	-1.24142877e-07	4.93201077e-05	4.59293698e-05	0	0	0	0	0	3
16	102	0	0.135418715	-2.05725607e-08	3.17753098e-06	-1.24142877e-07	4.93201077e-05	4.61425767e-05	0	0	0	0	0	3
17	107	0	0.143882385	-2.88849037e-08	2.98891829e-06	-1.24142877e-07	4.93201077e-05	4.63311894e-05	0	0	0	0	0	3
18	111	0	0.152346055	-5.19021089e-08	2.81998382e-06	-1.24142877e-07	4.93201077e-05	4.65001239e-05	0	0	0	0	0	3
19	116	0	0.160809725	-3.98924528e-08	2.66946402e-06	-1.24142877e-07	4.93201077e-05	4.66506437e-05	0	0	0	0	0	3
20	121	0	0.169273394	-4.11194261e-08	2.53393484e-06	-1.24142877e-07	4.93201077e-05	4.67861728e-05	0	0	0	0	0	3
21	126	0	0.177737064	-7.40295334e-08	2.40974606e-06	-1.24142877e-07	4.93201077e-05	4.69103616e-05	0	0	0	0	0	3
