Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	26	0	0.00846366971	109863.438	109863.438	109863.438	109863.438	0	0	0	0	0	0	3
2	32	0	0.0169273394	104805.3	107334.369	104805.3	109863.438	2529.06895	0	0	0	0	0	3
3	38	0	0.0253910091	102755.296	105808.011	102755.296	109863.438	4055.42658	0	0	0	0	0	3
4	44	0	0.0338546789	102096.166	104880.05	102096.166	109863.438	4983.38772	0	0	0	0	0	3
5	49	0	0.0423183486	101824.964	104269.033	101824.964	109863.438	5594.40493	0	0	0	0	0	3
6	54	0	0.0507820183	101609.37	103825.755	101609.37	109863.438	6037.68204	0	0	0	0	0	3
7	59	0	0.059245688	101528.463	103497.571	101528.463	109863.438	6365.86669	0	0	0	0	0	3
8	64	0	0.0677093577	101448.063	103241.382	101448.063	109863.438	6622.05516	0	0	0	0	0	3
9	68	0	0.0761730274	101440.776	103041.315	101440.776	109863.438	6822.1225	0	0	0	0	0	3
10	73	0	0.0846366971	101404.137	102877.597	101404.137	109863.438	6985.84034	0	0	0	0	0	3
11	78	0	0.0931003669	101412.566	102744.413	101404.137	109863.438	7119.02495	0	0	0	0	0	3
12	83	0	0.101564037	101405.322	102632.822	101404.137	109863.438	7230.61583	0	0	0	0	0	3
13	88	0	0.110027706	101414.078	102539.072	101404.137	109863.438	7324.36535	0	0	0	0	0	3
14	93	0	0.118491376	101416.549	102458.892	101404.137	109863.438	7404.54556	0	0	0	0	0	3
15	97	0	0.126955046	101426.728	102390.081	101404.137	109863.438	7473.35647	0	0	0	0	0	3
16	102	0	0.135418715	101432.912	102330.258	101404.137	109863.438	7533.17952	0	0	0	0	0	3
17	107	0	0.143882385	101440.882	102277.942	101404.137	109863.438	7585.49573	0	0	0	0	0	3
18	111	0	0.152346055	101450.392	102231.967	101404.137	109863.438	7631.4707	0	0	0	0	0	3
19	116	0	0.160809725	101458.046	102191.234	101404.137	109863.438	7672.20338	0	0	0	0	0	3
20	121	0	0.169273394	101465.07	102154.926	101404.137	109863.438	7708.51159	0	0	0	0	0	3
