Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	26	0	0.00846366971	293.638033	293.638033	293.638033	293.638033	0	0	0	0	0	0	3
2	32	0	0.0169273394	293.70992	293.673977	293.638033	293.70992	0.0359435064	0	0	0	0	0	3
3	38	0	0.0253910091	293.790577	293.712843	293.638033	293.790577	0.0748102189	0	0	0	0	0	3
4	44	0	0.0338546789	293.878656	293.754297	293.638033	293.878656	0.116263383	0	0	0	0	0	3
5	49	0	0.0423183486	293.973237	293.798085	293.638033	293.973237	0.16005151	0	0	0	0	0	3
6	54	0	0.0507820183	294.1274	293.852971	293.638033	294.1274	0.214937388	0	0	0	0	0	3
7	59	0	0.059245688	294.292169	293.915713	293.638033	294.292169	0.277680063	0	0	0	0	0	3
8	64	0	0.0677093577	294.461352	293.983918	293.638033	294.461352	0.345884911	0	0	0	0	0	3
9	68	0	0.0761730274	294.631827	294.055908	293.638033	294.631827	0.417874784	0	0	0	0	0	3
10	73	0	0.0846366971	294.802088	294.130526	293.638033	294.802088	0.492492793	0	0	0	0	0	3
11	78	0	0.0931003669	295.054189	294.214495	293.638033	295.054189	0.57646212	0	0	0	0	0	3
12	83	0	0.101564037	295.302666	294.305176	293.638033	295.302666	0.667143015	0	0	0	0	0	3
13	88	0	0.110027706	295.547407	294.400732	293.638033	295.547407	0.762699233	0	0	0	0	0	3
14	93	0	0.118491376	295.788188	294.499836	293.638033	295.788188	0.861803183	0	0	0	0	0	3
15	97	0	0.126955046	296.025364	294.601538	293.638033	296.025364	0.963504995	0	0	0	0	0	3
16	102	0	0.135418715	296.373457	294.712283	293.638033	296.373457	1.07424995	0	0	0	0	0	3
17	107	0	0.143882385	296.717289	294.830225	293.638033	296.717289	1.19219145	0	0	0	0	0	3
18	111	0	0.152346055	297.057831	294.953981	293.638033	297.057831	1.31594738	0	0	0	0	0	3
19	116	0	0.160809725	297.39586	295.082501	293.638033	297.39586	1.44446734	0	0	0	0	0	3
20	121	0	0.169273394	297.73138	295.214944	293.638033	297.73138	1.57691131	0	0	0	0	0	3
21	126	0	0.177737064	298.226622	295.358358	293.638033	298.226622	1.72032454	0	0	0	0	0	3
22	130	0	0.186200734	298.715708	295.510965	293.638033	298.715708	1.87293136	0	0	0	0	0	3
23	135	0	0.194664403	299.196199	295.671192	293.638033	299.196199	2.03315896	0	0	0	0	0	3
24	140	0	0.203128073	299.667182	295.837692	293.638033	299.667182	2.19965855	0	0	0	0	0	3
25	144	0	0.211591743	300.129639	296.00937	293.638033	300.129639	2.37133644	0	0	0	0	0	3
26	149	0	0.220055413	300.812773	296.194116	293.638033	300.812773	2.55608273	0	0	0	0	0	3
27	155	0	0.228519082	301.493417	296.390386	293.638033	301.493417	2.75235314	0	0	0	0	0	3
28	159	0	0.236982752	302.175126	296.596984	293.638033	302.175126	2.95895097	0	0	0	0	0	3
29	164	0	0.245446422	302.85872	296.812906	293.638033	302.85872	3.17487288	0	0	0	0	0	3
30	169	0	0.253910091	303.542263	297.037218	293.638033	303.542263	3.39918479	0	0	0	0	0	3
31	174	0	0.262373761	304.564078	297.28002	293.638033	304.564078	3.64198671	0	0	0	0	0	3
32	180	0	0.270837431	305.57763	297.53932	293.638033	305.57763	3.90128702	0	0	0	0	0	3
33	185	0	0.279301101	306.580225	297.813287	293.638033	306.580225	4.17525383	0	0	0	0	0	3
34	190	0	0.28776477	307.576034	298.100427	293.638033	307.576034	4.46239344	0	0	0	0	0	3
35	195	0	0.29622844	308.578229	298.399792	293.638033	308.578229	4.76175922	0	0	0	0	0	3
36	201	0	0.30469211	310.131499	298.725673	293.638033	310.131499	5.08763996	0	0	0	0	0	3
37	206	0	0.313155779	311.779657	299.078484	293.638033	311.779657	5.44045034	0	0	0	0	0	3
38	212	0	0.321619449	313.541531	299.45909	293.638033	313.541531	5.82105685	0	0	0	0	0	3
39	217	0	0.330083119	315.415675	299.868233	293.638033	315.415675	6.23020006	0	0	0	0	0	3
40	222	0	0.338546789	317.414435	300.306888	293.638033	317.414435	6.66885509	0	0	0	0	0	3
41	227	0	0.347010458	320.633626	300.802662	293.638033	320.633626	7.16462918	0	0	0	0	0	3
42	232	0	0.355474128	324.17984	301.359262	293.638033	324.17984	7.72122865	0	0	0	0	0	3
43	238	0	0.363937798	328.03804	301.979699	293.638033	328.03804	8.34166534	0	0	0	0	0	3
44	243	0	0.372401467	332.129686	302.664925	293.638033	332.129686	9.02689232	0	0	0	0	0	3
45	249	0	0.380865137	336.386318	303.41429	293.638033	336.386318	9.77625659	0	0	0	0	0	3
46	254	0	0.389328807	340.712803	304.225127	293.638033	340.712803	10.5870938	0	0	0	0	0	3
47	260	0	0.397792477	345.036279	305.093449	293.638033	345.036279	11.4554162	0	0	0	0	0	3
48	265	0	0.406256146	349.320517	306.014847	293.638033	349.320517	12.3768135	0	0	0	0	0	3
49	271	0	0.414719816	353.538314	306.984713	293.638033	353.538314	13.3466802	0	0	0	0	0	3
50	276	0	0.423183486	357.681529	307.99865	293.638033	357.681529	14.3606165	0	0	0	0	0	3
51	281	0	0.431647155	361.761553	309.052824	293.638033	361.761553	15.414791	0	0	0	0	0	3
