Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	26	0	0.00846366971	31.2642512	31.2642512	31.2642512	31.2642512	0	0	0	0	0	0	3
2	32	0	0.0169273394	31.0763961	31.1703237	31.0763961	31.2642512	0.0939275541	0	0	0	0	0	3
3	38	0	0.0253910091	31.1823951	31.1743475	31.0763961	31.2642512	0.0939275541	0	0	0	0	0	3
4	44	0	0.0338546789	31.2293663	31.1881022	31.0763961	31.2642512	0.0939275541	0	0	0	0	0	3
5	49	0	0.0423183486	31.2454259	31.1995669	31.0763961	31.2642512	0.0939275541	0	0	0	0	0	3
6	54	0	0.0507820183	31.2523021	31.2083561	31.0763961	31.2642512	0.0939275541	0	0	0	0	0	3
7	59	0	0.059245688	31.2576243	31.2153944	31.0763961	31.2642512	0.0939275541	0	0	0	0	0	3
8	64	0	0.0677093577	31.2597227	31.2209355	31.0763961	31.2642512	0.0939275541	0	0	0	0	0	3
9	68	0	0.0761730274	31.2997207	31.2296894	31.0763961	31.2997207	0.0939275541	0	0	0	0	0	3
10	73	0	0.0846366971	31.3610471	31.2428252	31.0763961	31.3610471	0.0939275541	0	0	0	0	0	3
11	78	0	0.0931003669	31.9916849	31.3109033	31.0763961	31.9916849	0.14057963	0	0	0	0	0	3
12	83	0	0.101564037	32.8361197	31.4380047	31.0763961	32.8361197	0.267680996	0	0	0	0	0	3
13	88	0	0.110027706	33.6476896	31.6079804	31.0763961	33.6476896	0.437656761	0	0	0	0	0	3
14	93	0	0.118491376	34.3856286	31.8063839	31.0763961	34.3856286	0.636060199	0	0	0	0	0	3
15	97	0	0.126955046	35.0834003	32.0248516	31.0763961	35.0834003	0.854527961	0	0	0	0	0	3
16	102	0	0.135418715	35.8625982	32.2647108	31.0763961	35.8625982	1.09438712	0	0	0	0	0	3
17	107	0	0.143882385	36.5318476	32.5157188	31.0763961	36.5318476	1.34539516	0	0	0	0	0	3
18	111	0	0.152346055	37.0455624	32.7673768	31.0763961	37.0455624	1.59705314	0	0	0	0	0	3
19	116	0	0.160809725	37.5593334	33.0195851	31.0763961	37.5593334	1.84926138	0	0	0	0	0	3
20	121	0	0.169273394	38.7347434	33.305343	31.0763961	38.7347434	2.1350193	0	0	0	0	0	3
21	126	0	0.177737064	40.007176	33.6244779	31.0763961	40.007176	2.4541542	0	0	0	0	0	3
22	130	0	0.186200734	41.1181619	33.9650999	31.0763961	41.1181619	2.7947762	0	0	0	0	0	3
23	135	0	0.194664403	42.267379	34.3260685	31.0763961	42.267379	3.15574486	0	0	0	0	0	3
24	140	0	0.203128073	43.1786598	34.6949265	31.0763961	43.1786598	3.52460283	0	0	0	0	0	3
25	144	0	0.211591743	44.0615069	35.0695897	31.0763961	44.0615069	3.89926604	0	0	0	0	0	3
26	149	0	0.220055413	45.2699942	35.461913	31.0763961	45.2699942	4.29158929	0	0	0	0	0	3
27	155	0	0.228519082	45.6371358	35.8387731	31.0763961	45.6371358	4.6684494	0	0	0	0	0	3
28	159	0	0.236982752	46.1263988	36.2061883	31.0763961	46.1263988	5.0358646	0	0	0	0	0	3
29	164	0	0.245446422	46.6230557	36.5653906	31.0763961	46.6230557	5.39506693	0	0	0	0	0	3
30	169	0	0.253910091	46.7681943	36.9054841	31.0763961	46.7681943	5.73516038	0	0	0	0	0	3
31	174	0	0.262373761	46.5288454	37.2159151	31.0763961	46.7681943	6.0455914	0	0	0	0	0	3
32	180	0	0.270837431	45.9416233	37.4885935	31.0763961	46.7681943	6.31826978	0	0	0	0	0	3
33	185	0	0.279301101	44.9318412	37.7141464	31.0763961	46.7681943	6.54382274	0	0	0	0	0	3
34	190	0	0.28776477	43.3986814	37.8813386	31.0763961	46.7681943	6.71101494	0	0	0	0	0	3
35	195	0	0.29622844	41.9729693	37.9982424	31.0763961	46.7681943	6.82791868	0	0	0	0	0	3
36	201	0	0.30469211	39.5684449	38.0418591	31.0763961	46.7681943	6.87153542	0	0	0	0	0	3
37	206	0	0.313155779	37.1419815	38.0175381	31.0763961	46.7681943	6.87153542	0	0	0	0	0	3
38	212	0	0.321619449	38.5165658	38.0306704	31.0763961	46.7681943	6.87153542	0	0	0	0	0	3
