Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	26	0	0.00846366971	0	0	0	0	0	0	0	0	0	0	3
2	32	0	0.0169273394	0	0	0	0	0	0	0	0	0	0	3
3	38	0	0.0253910091	0	0	0	0	0	0	0	0	0	0	3
4	44	0	0.0338546789	0	0	0	0	0	0	0	0	0	0	3
5	49	0	0.0423183486	0	0	0	0	0	0	0	0	0	0	3
6	54	0	0.0507820183	0	0	0	0	0	0	0	0	0	0	3
7	59	0	0.059245688	0	0	0	0	0	0	0	0	0	0	3
8	64	0	0.0677093577	0	0	0	0	0	0	0	0	0	0	3
9	68	0	0.0761730274	0	0	0	0	0	0	0	0	0	0	3
10	73	0	0.0846366971	0	0	0	0	0	0	0	0	0	0	3
11	78	0	0.0931003669	0	0	0	0	0	0	0	0	0	0	3
12	83	0	0.101564037	0	0	0	0	0	0	0	0	0	0	3
13	88	0	0.110027706	0	0	0	0	0	0	0	0	0	0	3
14	93	0	0.118491376	0	0	0	0	0	0	0	0	0	0	3
15	97	0	0.126955046	0	0	0	0	0	0	0	0	0	0	3
16	102	0	0.135418715	0	0	0	0	0	0	0	0	0	0	3
17	107	0	0.143882385	0	0	0	0	0	0	0	0	0	0	3
18	111	0	0.152346055	0	0	0	0	0	0	0	0	0	0	3
19	116	0	0.160809725	0	0	0	0	0	0	0	0	0	0	3
20	121	0	0.169273394	0	0	0	0	0	0	0	0	0	0	3
21	126	0	0.177737064	0	0	0	0	0	0	0	0	0	0	3
22	130	0	0.186200734	0	0	0	0	0	0	0	0	0	0	3
23	135	0	0.194664403	0	0	0	0	0	0	0	0	0	0	3
24	140	0	0.203128073	0	0	0	0	0	0	0	0	0	0	3
25	144	0	0.211591743	0	0	0	0	0	0	0	0	0	0	3
26	149	0	0.220055413	0	0	0	0	0	0	0	0	0	0	3
27	155	0	0.228519082	0	0	0	0	0	0	0	0	0	0	3
28	159	0	0.236982752	0	0	0	0	0	0	0	0	0	0	3
29	164	0	0.245446422	0	0	0	0	0	0	0	0	0	0	3
30	169	0	0.253910091	0	0	0	0	0	0	0	0	0	0	3
31	174	0	0.262373761	0	0	0	0	0	0	0	0	0	0	3
32	180	0	0.270837431	0	0	0	0	0	0	0	0	0	0	3
33	185	0	0.279301101	0	0	0	0	0	0	0	0	0	0	3
34	190	0	0.28776477	0	0	0	0	0	0	0	0	0	0	3
35	195	0	0.29622844	0	0	0	0	0	0	0	0	0	0	3
36	201	0	0.30469211	0	0	0	0	0	0	0	0	0	0	3
37	206	0	0.313155779	0	0	0	0	0	0	0	0	0	0	3
38	212	0	0.321619449	0	0	0	0	0	0	0	0	0	0	3
39	217	0	0.330083119	0	0	0	0	0	0	0	0	0	0	3
40	222	0	0.338546789	0	0	0	0	0	0	0	0	0	0	3
41	227	0	0.347010458	0	0	0	0	0	0	0	0	0	0	3
42	232	0	0.355474128	0	0	0	0	0	0	0	0	0	0	3
43	238	0	0.363937798	0	0	0	0	0	0	0	0	0	0	3
44	243	0	0.372401467	0	0	0	0	0	0	0	0	0	0	3
45	249	0	0.380865137	0	0	0	0	0	0	0	0	0	0	3
46	254	0	0.389328807	0	0	0	0	0	0	0	0	0	0	3
47	260	0	0.397792477	0	0	0	0	0	0	0	0	0	0	3
48	265	0	0.406256146	0	0	0	0	0	0	0	0	0	0	3
49	271	0	0.414719816	0	0	0	0	0	0	0	0	0	0	3
50	276	0	0.423183486	0	0	0	0	0	0	0	0	0	0	3
51	281	0	0.431647155	0	0	0	0	0	0	0	0	0	0	3
52	286	0	0.440110825	0	0	0	0	0	0	0	0	0	0	3
53	292	0	0.448574495	0	0	0	0	0	0	0	0	0	0	3
54	298	0	0.457038165	0	0	0	0	0	0	0	0	0	0	3
55	303	0	0.465501834	0	0	0	0	0	0	0	0	0	0	3
56	308	0	0.473965504	0	0	0	0	0	0	0	0	0	0	3
57	314	0	0.482429174	0	0	0	0	0	0	0	0	0	0	3
58	319	0	0.490892843	0	0	0	0	0	0	0	0	0	0	3
59	324	0	0.499356513	0	0	0	0	0	0	0	0	0	0	3
60	329	0	0.507820183	0	0	0	0	0	0	0	0	0	0	3
