Iteration	CPUTime	PhysTime	Travels
1	26	0	0.00846366971
2	32	0	0.0169273394
3	38	0	0.0253910091
4	44	0	0.0338546789
5	49	0	0.0423183486
6	54	0	0.0507820183
7	59	0	0.059245688
8	64	0	0.0677093577
9	68	0	0.0761730274
10	73	0	0.0846366971
11	78	0	0.0931003669
12	83	0	0.101564037
13	88	0	0.110027706
14	93	0	0.118491376
15	97	0	0.126955046
16	102	0	0.135418715
17	107	0	0.143882385
18	111	0	0.152346055
19	116	0	0.160809725
20	121	0	0.169273394
21	126	0	0.177737064
22	130	0	0.186200734
23	135	0	0.194664403
24	140	0	0.203128073
25	144	0	0.211591743
26	149	0	0.220055413
27	155	0	0.228519082
28	159	0	0.236982752
29	164	0	0.245446422
30	169	0	0.253910091
31	174	0	0.262373761
32	180	0	0.270837431
33	185	0	0.279301101
34	190	0	0.28776477
35	195	0	0.29622844
36	201	0	0.30469211
37	206	0	0.313155779
38	212	0	0.321619449
39	217	0	0.330083119
40	222	0	0.338546789
41	227	0	0.347010458
42	232	0	0.355474128
43	238	0	0.363937798
44	243	0	0.372401467
45	249	0	0.380865137
46	254	0	0.389328807
47	260	0	0.397792477
48	265	0	0.406256146
49	271	0	0.414719816
50	276	0	0.423183486
51	281	0	0.431647155
52	286	0	0.440110825
53	292	0	0.448574495
54	298	0	0.457038165
55	303	0	0.465501834
56	308	0	0.473965504
57	314	0	0.482429174
58	319	0	0.490892843
59	324	0	0.499356513
60	329	0	0.507820183
61	334	0	0.516283853
62	339	0	0.524747522
63	344	0	0.533211192
64	349	0	0.541674862
65	354	0	0.550138531
66	359	0	0.558602201
67	364	0	0.567065871
68	369	0	0.575529541
69	374	0	0.58399321
70	379	0	0.59245688
71	384	0	0.60092055
72	388	0	0.609384219
73	393	0	0.617847889
74	398	0	0.626311559
75	403	0	0.634775229
76	407	0	0.643238898
77	412	0	0.651702568
78	416	0	0.660166238
79	421	0	0.668629907
80	425	0	0.677093577
81	430	0	0.685557247
82	435	0	0.694020917
83	440	0	0.702484586
84	444	0	0.710948256
85	449	0	0.719411926
86	453	0	0.727875595
87	458	0	0.736339265
88	462	0	0.744802935
89	466	0	0.753266605
90	471	0	0.761730274
91	475	0	0.770193944
92	480	0	0.778657614
93	484	0	0.787121283
94	488	0	0.795584953
95	493	0	0.804048623
96	497	0	0.812512293
97	502	0	0.820975962
98	506	0	0.829439632
99	511	0	0.837903302
100	515	0	0.846366971
101	522	0	0.854830641
102	526	0	0.863294311
103	530	0	0.871757981
104	535	0	0.88022165
105	539	0	0.88868532
106	543	0	0.89714899
107	548	0	0.90561266
108	552	0	0.914076329
109	556	0	0.922539999
110	561	0	0.931003669
111	565	0	0.939467338
112	570	0	0.947931008
113	574	0	0.956394678
114	579	0	0.964858348
115	583	0	0.973322017
116	588	0	0.981785687
117	592	0	0.990249357
118	596	0	0.998713026
119	600	0	1.0071767
120	605	0	1.01564037
121	609	0	1.02410404
122	613	0	1.03256771
123	617	0	1.04103137
124	622	0	1.04949504
125	626	0	1.05795871
126	631	0	1.06642238
127	635	0	1.07488605
128	639	0	1.08334972
129	644	0	1.09181339
130	648	0	1.10027706
131	652	0	1.10874073
132	656	0	1.1172044
133	660	0	1.12566807
134	665	0	1.13413174
135	669	0	1.14259541
136	673	0	1.15105908
137	677	0	1.15952275
138	681	0	1.16798642
139	686	0	1.17645009
140	690	0	1.18491376
141	695	0	1.19337743
142	699	0	1.2018411
143	703	0	1.21030477
144	707	0	1.21876844
145	711	0	1.22723211
146	716	0	1.23569578
147	720	0	1.24415945
148	724	0	1.25262312
149	728	0	1.26108679
150	732	0	1.26955046
151	737	0	1.27801413
152	741	0	1.2864778
153	745	0	1.29494147
154	749	0	1.30340514
