Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0137274973	0	0	0	0	0	0	0	0	0	0	3
2	7	0	0.0274549947	0	0	0	0	0	0	0	0	0	0	3
3	7	0	0.041182492	0	0	0	0	0	0	0	0	0	0	3
4	8	0	0.0549099893	0	0	0	0	0	0	0	0	0	0	3
5	8	0	0.0686374867	0	0	0	0	0	0	0	0	0	0	3
6	9	0	0.082364984	0	0	0	0	0	0	0	0	0	0	3
7	9	0	0.0960924814	0	0	0	0	0	0	0	0	0	0	3
8	10	0	0.109819979	0	0	0	0	0	0	0	0	0	0	3
9	11	0	0.123547476	0	0	0	0	0	0	0	0	0	0	3
10	11	0	0.137274973	0	0	0	0	0	0	0	0	0	0	3
11	12	0	0.151002471	0	0	0	0	0	0	0	0	0	0	3
12	12	0	0.164729968	0	0	0	0	0	0	0	0	0	0	3
13	13	0	0.178457465	0	0	0	0	0	0	0	0	0	0	3
14	14	0	0.192184963	0	0	0	0	0	0	0	0	0	0	3
15	14	0	0.20591246	0	0	0	0	0	0	0	0	0	0	3
16	15	0	0.219639957	0	0	0	0	0	0	0	0	0	0	3
17	15	0	0.233367455	0	0	0	0	0	0	0	0	0	0	3
18	16	0	0.247094952	0	0	0	0	0	0	0	0	0	0	3
19	17	0	0.260822449	0	0	0	0	0	0	0	0	0	0	3
20	18	0	0.274549947	0	0	0	0	0	0	0	0	0	0	3
21	18	0	0.288277444	0	0	0	0	0	0	0	0	0	0	3
22	19	0	0.302004941	0	0	0	0	0	0	0	0	0	0	3
23	20	0	0.315732439	0	0	0	0	0	0	0	0	0	0	3
24	20	0	0.329459936	0	0	0	0	0	0	0	0	0	0	3
25	21	0	0.343187433	0	0	0	0	0	0	0	0	0	0	3
26	21	0	0.356914931	0	0	0	0	0	0	0	0	0	0	3
27	22	0	0.370642428	0	0	0	0	0	0	0	0	0	0	3
28	23	0	0.384369925	0	0	0	0	0	0	0	0	0	0	3
29	23	0	0.398097423	0	0	0	0	0	0	0	0	0	0	3
30	24	0	0.41182492	0	0	0	0	0	0	0	0	0	0	3
31	25	0	0.425552417	0	0	0	0	0	0	0	0	0	0	3
32	25	0	0.439279915	0	0	0	0	0	0	0	0	0	0	3
33	26	0	0.453007412	0	0	0	0	0	0	0	0	0	0	3
34	27	0	0.466734909	0	0	0	0	0	0	0	0	0	0	3
35	27	0	0.480462407	0	0	0	0	0	0	0	0	0	0	3
36	28	0	0.494189904	0	0	0	0	0	0	0	0	0	0	3
37	29	0	0.507917401	0	0	0	0	0	0	0	0	0	0	3
38	29	0	0.521644899	0	0	0	0	0	0	0	0	0	0	3
39	30	0	0.535372396	0	0	0	0	0	0	0	0	0	0	3
40	31	0	0.549099893	0	0	0	0	0	0	0	0	0	0	3
41	31	0	0.562827391	0	0	0	0	0	0	0	0	0	0	3
42	32	0	0.576554888	0	0	0	0	0	0	0	0	0	0	3
43	33	0	0.590282385	0	0	0	0	0	0	0	0	0	0	3
