Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0137274973	8.62257368e-08	8.62257368e-08	8.62257368e-08	8.62257368e-08	0	0	0	0	0	0	3
2	7	0	0.0274549947	2.53347147e-09	4.43796041e-08	2.53347147e-09	8.62257368e-08	4.18461327e-08	0	0	0	0	0	3
3	7	0	0.041182492	-4.46778136e-10	2.94374767e-08	-4.46778136e-10	8.62257368e-08	5.67882601e-08	0	0	0	0	0	3
4	8	0	0.0549099893	-1.37558988e-10	2.20437178e-08	-4.46778136e-10	8.62257368e-08	6.4182019e-08	0	0	0	0	0	3
5	8	0	0.0686374867	-8.90474289e-11	1.76171647e-08	-4.46778136e-10	8.62257368e-08	6.8608572e-08	0	0	0	0	0	3
6	9	0	0.082364984	-5.62301705e-11	1.46715989e-08	-4.46778136e-10	8.62257368e-08	7.15541379e-08	0	0	0	0	0	3
7	9	0	0.0960924814	-5.50551496e-11	1.25677912e-08	-4.46778136e-10	8.62257368e-08	7.36579456e-08	0	0	0	0	0	3
8	10	0	0.109819979	-6.01670382e-11	1.09892964e-08	-4.46778136e-10	8.62257368e-08	7.52364404e-08	0	0	0	0	0	3
9	11	0	0.123547476	-7.698292e-11	9.75970982e-09	-4.46778136e-10	8.62257368e-08	7.6466027e-08	0	0	0	0	0	3
10	11	0	0.137274973	-8.2651498e-11	8.77547369e-09	-4.46778136e-10	8.62257368e-08	7.74502631e-08	0	0	0	0	0	3
11	12	0	0.151002471	-6.29007097e-11	7.97198511e-09	-4.46778136e-10	8.62257368e-08	7.82537517e-08	0	0	0	0	0	3
12	12	0	0.164729968	-6.85860993e-11	7.30193751e-09	-4.46778136e-10	8.62257368e-08	7.89237993e-08	0	0	0	0	0	3
13	13	0	0.178457465	-5.69849493e-11	6.73586655e-09	-4.46778136e-10	8.62257368e-08	7.94898702e-08	0	0	0	0	0	3
14	14	0	0.192184963	-5.85056245e-11	6.25055425e-09	-4.46778136e-10	8.62257368e-08	7.99751825e-08	0	0	0	0	0	3
15	14	0	0.20591246	-9.83065063e-11	5.82729687e-09	-4.46778136e-10	8.62257368e-08	8.03984399e-08	0	0	0	0	0	3
16	15	0	0.219639957	-9.17941802e-11	5.45735368e-09	-4.46778136e-10	8.62257368e-08	8.07683831e-08	0	0	0	0	0	3
17	15	0	0.233367455	-8.52035834e-11	5.1313209e-09	-4.46778136e-10	8.62257368e-08	8.10944159e-08	0	0	0	0	0	3
18	16	0	0.247094952	-8.00915908e-11	4.84179798e-09	-4.46778136e-10	8.62257368e-08	8.13839388e-08	0	0	0	0	0	3
19	17	0	0.260822449	-7.70470953e-11	4.5829114e-09	-4.46778136e-10	8.62257368e-08	8.16428254e-08	0	0	0	0	0	3
20	18	0	0.274549947	-7.57647872e-11	4.34997759e-09	-4.46778136e-10	8.62257368e-08	8.18757592e-08	0	0	0	0	0	3
21	18	0	0.288277444	-7.51930396e-11	4.13925518e-09	-4.46778136e-10	8.62257368e-08	8.20864816e-08	0	0	0	0	0	3
22	19	0	0.302004941	-1.74027269e-10	3.94319689e-09	-4.46778136e-10	8.62257368e-08	8.22825399e-08	0	0	0	0	0	3
23	20	0	0.315732439	-1.78528586e-10	3.76399143e-09	-4.46778136e-10	8.62257368e-08	8.24617454e-08	0	0	0	0	0	3
24	20	0	0.329459936	-1.81348644e-10	3.59960226e-09	-4.46778136e-10	8.62257368e-08	8.26261345e-08	0	0	0	0	0	3
25	21	0	0.343187433	-1.78258479e-10	3.44848783e-09	-4.46778136e-10	8.62257368e-08	8.2777249e-08	0	0	0	0	0	3
26	21	0	0.356914931	-1.68776823e-10	3.30936227e-09	-4.46778136e-10	8.62257368e-08	8.29163745e-08	0	0	0	0	0	3
27	22	0	0.370642428	-1.86516603e-10	3.17988527e-09	-4.46778136e-10	8.62257368e-08	8.30458515e-08	0	0	0	0	0	3
28	23	0	0.384369925	-1.66374961e-10	3.06037598e-09	-4.46778136e-10	8.62257368e-08	8.31653608e-08	0	0	0	0	0	3
29	23	0	0.398097423	-2.91809416e-10	2.94478338e-09	-4.46778136e-10	8.62257368e-08	8.32809534e-08	0	0	0	0	0	3
30	24	0	0.41182492	-1.28525468e-10	2.84233975e-09	-4.46778136e-10	8.62257368e-08	8.3383397e-08	0	0	0	0	0	3
31	25	0	0.425552417	-8.51472629e-11	2.74790469e-09	-4.46778136e-10	8.62257368e-08	8.34778321e-08	0	0	0	0	0	3
32	25	0	0.439279915	-2.85065815e-11	2.66114183e-09	-4.46778136e-10	8.62257368e-08	8.3564595e-08	0	0	0	0	0	3
33	26	0	0.453007412	4.69006948e-11	2.5819224e-09	-4.46778136e-10	8.62257368e-08	8.36438144e-08	0	0	0	0	0	3
34	27	0	0.466734909	7.11027687e-11	2.50807477e-09	-4.46778136e-10	8.62257368e-08	8.3717662e-08	0	0	0	0	0	3
35	27	0	0.480462407	7.8185054e-11	2.43864935e-09	-4.46778136e-10	8.62257368e-08	8.37870874e-08	0	0	0	0	0	3
36	28	0	0.494189904	1.49733771e-10	2.37506836e-09	-4.46778136e-10	8.62257368e-08	8.38506684e-08	0	0	0	0	0	3
37	29	0	0.507917401	3.01098695e-10	2.31901513e-09	-4.46778136e-10	8.62257368e-08	8.39067217e-08	0	0	0	0	0	3
38	29	0	0.521644899	4.12509112e-10	-2.61297989e-13	-4.46778136e-10	2.53347147e-09	2.9802496e-09	0	0	0	0	0	3
39	30	0	0.535372396	4.12489815e-10	-5.75851264e-11	-4.46778136e-10	4.12509112e-10	8.59287247e-10	0	0	0	0	0	3
40	31	0	0.549099893	3.52004829e-10	-3.59963976e-11	-2.91809416e-10	4.12509112e-10	7.04318527e-10	0	0	0	0	0	3
41	31	0	0.562827391	2.99764659e-10	-2.41768396e-11	-2.91809416e-10	4.12509112e-10	7.04318527e-10	0	0	0	0	0	3
42	32	0	0.576554888	3.65825318e-10	-1.18829816e-11	-2.91809416e-10	4.12509112e-10	7.04318527e-10	0	0	0	0	0	3
43	33	0	0.590282385	4.4806975e-10	1.74674598e-12	-2.91809416e-10	4.4806975e-10	7.39879165e-10	0	0	0	0	0	3
44	33	0	0.604009883	4.70344568e-10	1.59467383e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
45	34	0	0.61773738	4.66632389e-10	3.01845607e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
46	35	0	0.631464877	4.3352372e-10	4.39820374e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
47	35	0	0.645192375	3.88909033e-10	5.67269167e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
48	36	0	0.658919872	3.49034843e-10	6.786031e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
49	37	0	0.672647369	3.4032407e-10	7.89119362e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
50	37	0	0.686374867	2.93921796e-10	8.83959023e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
51	38	0	0.700102364	2.64737209e-10	9.71321951e-11	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
52	39	0	0.713829861	2.34205075e-10	1.06118995e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
53	39	0	0.727557359	2.10162588e-10	1.14279988e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
54	40	0	0.741284856	1.88912369e-10	1.21688528e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
55	41	0	0.755012353	1.71226516e-10	1.28480909e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
56	41	0	0.768739851	1.53657754e-10	1.34716175e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
57	42	0	0.782467348	1.40273195e-10	1.40555039e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
58	42	0	0.796194845	1.21974039e-10	1.45883879e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
59	43	0	0.809922343	1.12653286e-10	1.53632002e-10	-2.91809416e-10	4.70344568e-10	7.62153984e-10	0	0	0	0	0	3
