Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0137274973	106069.931	106069.931	106069.931	106069.931	0	0	0	0	0	0	3
2	7	0	0.0274549947	101790.338	103930.134	101790.338	106069.931	2139.79625	0	0	0	0	0	3
3	7	0	0.041182492	101459.218	103106.496	101459.218	106069.931	2963.43488	0	0	0	0	0	3
4	8	0	0.0549099893	101430.287	102687.444	101430.287	106069.931	3382.487	0	0	0	0	0	3
5	8	0	0.0686374867	101424.836	102434.922	101424.836	106069.931	3635.00844	0	0	0	0	0	3
6	9	0	0.082364984	101416.793	102265.234	101416.793	106069.931	3804.69654	0	0	0	0	0	3
7	9	0	0.0960924814	101409.374	102142.968	101409.374	106069.931	3926.96228	0	0	0	0	0	3
8	10	0	0.109819979	101408.421	102051.15	101408.421	106069.931	4018.78067	0	0	0	0	0	3
9	11	0	0.123547476	101403.993	101979.244	101403.993	106069.931	4090.68702	0	0	0	0	0	3
10	11	0	0.137274973	101403.809	101921.7	101403.809	106069.931	4148.23051	0	0	0	0	0	3
11	12	0	0.151002471	101401.025	101874.366	101401.025	106069.931	4195.56464	0	0	0	0	0	3
12	12	0	0.164729968	101400.574	101834.883	101400.574	106069.931	4235.04734	0	0	0	0	0	3
13	13	0	0.178457465	101399.454	101801.389	101399.454	106069.931	4268.54186	0	0	0	0	0	3
14	14	0	0.192184963	101399.139	101772.657	101399.139	106069.931	4297.27401	0	0	0	0	0	3
15	14	0	0.20591246	101398.548	101747.716	101398.548	106069.931	4322.2146	0	0	0	0	0	3
16	15	0	0.219639957	101397.892	101725.852	101397.892	106069.931	4344.07863	0	0	0	0	0	3
17	15	0	0.233367455	101397.355	101706.529	101397.355	106069.931	4363.40199	0	0	0	0	0	3
18	16	0	0.247094952	101396.89	101689.326	101396.89	106069.931	4380.60413	0	0	0	0	0	3
19	17	0	0.260822449	101396.381	101673.908	101396.381	106069.931	4396.02233	0	0	0	0	0	3
20	18	0	0.274549947	101395.824	101660.004	101395.824	106069.931	4409.92656	0	0	0	0	0	3
21	18	0	0.288277444	101394.87	101647.379	101394.87	106069.931	4422.55199	0	0	0	0	0	3
22	19	0	0.302004941	101393.979	101635.86	101393.979	106069.931	4434.07016	0	0	0	0	0	3
23	20	0	0.315732439	101393.142	101625.307	101393.142	106069.931	4444.62313	0	0	0	0	0	3
24	20	0	0.329459936	101392.413	101615.603	101392.413	106069.931	4454.32705	0	0	0	0	0	3
25	21	0	0.343187433	101391.806	101606.652	101391.806	106069.931	4463.27893	0	0	0	0	0	3
26	21	0	0.356914931	101391.162	101598.364	101391.162	106069.931	4471.567	0	0	0	0	0	3
27	22	0	0.370642428	101390.693	101590.672	101390.693	106069.931	4479.2585	0	0	0	0	0	3
28	23	0	0.384369925	101390.429	101583.52	101390.429	106069.931	4486.41004	0	0	0	0	0	3
29	23	0	0.398097423	101390.305	101576.858	101390.305	106069.931	4493.07265	0	0	0	0	0	3
30	24	0	0.41182492	101390.304	101570.639	101390.304	106069.931	4499.29111	0	0	0	0	0	3
31	25	0	0.425552417	101390.254	101564.821	101390.254	106069.931	4505.10998	0	0	0	0	0	3
32	25	0	0.439279915	101390.384	101559.369	101390.254	106069.931	4510.56113	0	0	0	0	0	3
33	26	0	0.453007412	101390.64	101554.256	101390.254	106069.931	4515.67414	0	0	0	0	0	3
34	27	0	0.466734909	101390.945	101549.453	101390.254	106069.931	4520.47742	0	0	0	0	0	3
35	27	0	0.480462407	101391.261	101544.933	101390.254	106069.931	4524.9972	0	0	0	0	0	3
36	28	0	0.494189904	101391.539	101540.672	101390.254	106069.931	4529.25815	0	0	0	0	0	3
37	29	0	0.507917401	101391.934	101536.652	101390.254	106069.931	4533.2781	0	0	0	0	0	3
38	29	0	0.521644899	101392.34	101410.231	101390.254	101790.338	400.08358	0	0	0	0	0	3
39	30	0	0.535372396	101392.687	101399.484	101390.254	101459.218	68.9639484	0	0	0	0	0	3
