Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	6	0	0.0137274973	293.185807	293.185807	293.185807	293.185807	0	0	0	0	0	0	3
2	7	0	0.0274549947	293.18503	293.185418	293.18503	293.185807	0.000388593252	0	0	0	0	0	3
3	7	0	0.041182492	293.184982	293.185273	293.184982	293.185807	0.000534070086	0	0	0	0	0	3
4	8	0	0.0549099893	293.185032	293.185213	293.184982	293.185807	0.000594353858	0	0	0	0	0	3
5	8	0	0.0686374867	293.185056	293.185181	293.184982	293.185807	0.000625650658	0	0	0	0	0	3
6	9	0	0.082364984	293.185117	293.185171	293.184982	293.185807	0.00063638004	0	0	0	0	0	3
7	9	0	0.0960924814	293.185176	293.185171	293.184982	293.185807	0.00063638004	0	0	0	0	0	3
8	10	0	0.109819979	293.185243	293.18518	293.184982	293.185807	0.00063638004	0	0	0	0	0	3
9	11	0	0.123547476	293.185311	293.185195	293.184982	293.185807	0.00063638004	0	0	0	0	0	3
10	11	0	0.137274973	293.185381	293.185214	293.184982	293.185807	0.00063638004	0	0	0	0	0	3
11	12	0	0.151002471	293.185486	293.185238	293.184982	293.185807	0.00063638004	0	0	0	0	0	3
12	12	0	0.164729968	293.18559	293.185268	293.184982	293.185807	0.00063638004	0	0	0	0	0	3
13	13	0	0.178457465	293.185694	293.1853	293.184982	293.185807	0.00063638004	0	0	0	0	0	3
14	14	0	0.192184963	293.185795	293.185336	293.184982	293.185807	0.00063638004	0	0	0	0	0	3
15	14	0	0.20591246	293.185895	293.185373	293.184982	293.185895	0.00063638004	0	0	0	0	0	3
16	15	0	0.219639957	293.186044	293.185415	293.184982	293.186044	0.00063638004	0	0	0	0	0	3
17	15	0	0.233367455	293.186188	293.18546	293.184982	293.186188	0.00063638004	0	0	0	0	0	3
18	16	0	0.247094952	293.186325	293.185508	293.184982	293.186325	0.00063638004	0	0	0	0	0	3
19	17	0	0.260822449	293.186455	293.185558	293.184982	293.186455	0.00063638004	0	0	0	0	0	3
20	18	0	0.274549947	293.186575	293.185609	293.184982	293.186575	0.00063638004	0	0	0	0	0	3
21	18	0	0.288277444	293.18673	293.185663	293.184982	293.18673	0.00063638004	0	0	0	0	0	3
22	19	0	0.302004941	293.186861	293.185717	293.184982	293.186861	0.00063638004	0	0	0	0	0	3
23	20	0	0.315732439	293.186972	293.185772	293.184982	293.186972	0.00063638004	0	0	0	0	0	3
24	20	0	0.329459936	293.187067	293.185826	293.184982	293.187067	0.000654865937	0	0	0	0	0	3
25	21	0	0.343187433	293.187154	293.185879	293.184982	293.187154	0.000707996515	0	0	0	0	0	3
26	21	0	0.356914931	293.187278	293.185933	293.184982	293.187278	0.000761820471	0	0	0	0	0	3
27	22	0	0.370642428	293.187403	293.185987	293.184982	293.187403	0.00081629997	0	0	0	0	0	3
28	23	0	0.384369925	293.187533	293.186042	293.184982	293.187533	0.000871504547	0	0	0	0	0	3
29	23	0	0.398097423	293.187666	293.186098	293.184982	293.187666	0.000927505585	0	0	0	0	0	3
30	24	0	0.41182492	293.187803	293.186155	293.184982	293.187803	0.00098432979	0	0	0	0	0	3
31	25	0	0.425552417	293.188009	293.186215	293.184982	293.188009	0.00104413737	0	0	0	0	0	3
32	25	0	0.439279915	293.188211	293.186277	293.184982	293.188211	0.00110651167	0	0	0	0	0	3
33	26	0	0.453007412	293.188402	293.186342	293.184982	293.188402	0.00117088985	0	0	0	0	0	3
34	27	0	0.466734909	293.188578	293.186407	293.184982	293.188578	0.00123666642	0	0	0	0	0	3
35	27	0	0.480462407	293.188739	293.186474	293.184982	293.188739	0.00130327151	0	0	0	0	0	3
36	28	0	0.494189904	293.188946	293.186543	293.184982	293.188946	0.00137195243	0	0	0	0	0	3
37	29	0	0.507917401	293.189124	293.186612	293.184982	293.189124	0.00144173075	0	0	0	0	0	3
38	29	0	0.521644899	293.189274	293.186706	293.184982	293.189274	0.00153543043	0	0	0	0	0	3
39	30	0	0.535372396	293.189397	293.186824	293.184982	293.189397	0.00165346874	0	0	0	0	0	3
40	31	0	0.549099893	293.189496	293.186946	293.185032	293.189496	0.00177546826	0	0	0	0	0	3
41	31	0	0.562827391	293.189597	293.18707	293.185056	293.189597	0.00189883744	0	0	0	0	0	3
42	32	0	0.576554888	293.189662	293.187194	293.185117	293.189662	0.00202332255	0	0	0	0	0	3
43	33	0	0.590282385	293.189703	293.187318	293.185176	293.189703	0.0021464947	0	0	0	0	0	3
44	33	0	0.604009883	293.189727	293.187441	293.185243	293.189727	0.00226051659	0	0	0	0	0	3
45	34	0	0.61773738	293.18974	293.187562	293.185311	293.18974	0.00236749908	0	0	0	0	0	3
